Blog	older	mention	showing	country	albums	service	page	include	point	real	mentioned	perfect	should	moment	round	wonder	pretty	piece	actually	others	eric	thinking	turned	asked	powerful	ocean	seems	radio	hasn	theme	grimes	maybe	mark	creating	audience	dr	missing	those	via	cannot	fi	law	laughing	hot	continue	mso	saturday	board	similar	fell	forget	history	winter	successful	pop	explore	dream	les	isn	picked	men	various	least	fine	including	nor	small	limited	pictures	incredible	alone	younger	knows	nearly	previous	aware	falls	roots	evening	deal	film	somewhat	within	comes	double	worked	wild	started	perhaps	hurt	bands	slightly	green	range	theater	america	falling	king	parts	coffee	kicking	co	shake	death	thanks	several	german	hop	youtube	count	confident	loving	internet	someone	anyone	goal	punk	fiction	points	sent	cool	nick	return	gun	become	welcome	stage	society	pt	cities	brothers	further	face	fall	throughout	using	recording	among	lord	changing	giant	soon	eye	himself	cancer	continues	together	order	star	hat	sin	full	mom	useful	tune	hold	talk	edition	though	third	hook	regret	nd	god	tengo	pay	september	silver	child	eventually	entire	cast	twice	strange	weird	midnight	richard	difficult	eating	lead	accept	call	pre	lose	dum	cry	ride	industry	possible	imagine	broken	opens	gave	l	wolf	decade	wind	understand	otherwise	since	simply	tonight	original	golden	waste	strong	result	final	neighborhood	able	working	concert	why	recent	known	ultimately	media	formed	sam	words	terms	relationships	haven	its	human	break	happened	questions	la	excellent	describe	likes	everywhere	please	official	proud	seemed	guy	source	vision	cat	town	drunk	orange	straight	hair	scream	festival	truly	tell	string	missed	require	sunday	bass	played	business	driving	moore	hopefully	fit	second	easy	sleep	lovely	notice	indie	plan	title	couple	tree	listening	close	rise	easily	father	john	slow	cut	critical	stupid	bar	knowing	yet	approach	watching	effect	news	worth	guys	impossible	club	feels	plus	picture	prince	worse	carry	entirely	believe	learning	twenty	forever	running	question	deep	los	natural	miss	received	involved	changes	character	hate	challenge	system	door	stuff	use	extra	u	week	finally	awesome	set	personal	feature	nyc	shot	latin	production	inside	form	feet	without	sky	yourself	brand	clear	steps	h	enough	direction	chorus	damn	kid	ears	based	appearance	keys	psychedelic	acts	help	politics	brother	c	royal	name	dead	light	hits	towards	david	sons	indeed	dreams	moments	q	summer	present	wire	learn	current	beyond	notes	looked	saying	half	promise	nice	february	complete	exciting	youth	ready	london	fully	yes	create	fun	list	bowie	language	finding	grace	bill	featuring	wedding	game	school	version	taste	thoughts	tv	becomes	phase	win	faith	lost	p	font	listen	moon	shows	rhythm	photos	needed	yellow	kiss	problem	collective	jeff	quiet	such	traditional	often	closing	bloody	doesn	warm	streets	video	thought	ask	nobody	making	both	dude	included	sometimes	cold	general	sings	dawn	class	usa	era	wine	realized	latest	trying	lake	leaving	ok	certain	candy	vocals	secret	events	culture	group	super	left	river	mortal	fantastic	weeks	voice	andrew	car	nine	pure	mac	physical	features	low	holiday	silent	legendary	tales	drive	remember	background	em	learned	epic	children	smart	start	calls	side	cover	whatever	sister	line	interest	coming	less	team	material	ascii
.	3	1	0	0	9	1	4	3	10	3	4	6	10	8	1	2	5	9	3	6	0	3	2	0	1	0	15	1	0	1	0	9	6	1	0	0	0	11	39	0	2	1	1	8	3	0	5	1	1	2	1	1	7	1	47	0	11	0	4	3	0	0	15	3	8	0	3	9	0	5	0	0	3	3	0	0	2	2	3	0	11	2	8	2	1	1	0	0	14	2	8	2	1	5	0	4	2	2	3	1	5	3	1	2	9	1	1	5	4	1	3	0	2	1	0	0	15	1	1	0	3	1	6	0	1	1	0	2	0	1	0	3	1	10	1	0	6	11	0	1	0	2	3	2	0	2	6	16	1	1	0	17	4	0	24	1	0	12	1	11	4	1	0	1	0	1	0	0	1	4	6	4	0	0	0	1	0	3	0	10	0	4	10	2	1	0	4	1	4	2	0	5	3	1	0	5	0	0	2	10	2	3	2	1	0	11	3	14	0	3	1	1	6	12	1	3	3	3	1	2	1	0	1	96	1	1	1	4	6	5	2	0	0	1	1	1	0	4	0	1	1	0	0	0	2	0	0	2	5	4	2	1	0	1	24	4	1	2	0	1	2	11	10	4	1	1	29	2	12	2	2	1	3	3	1	0	4	2	4	1	0	2	0	11	3	1	2	0	4	1	2	7	17	1	1	0	0	2	3	7	2	0	3	3	5	2	0	1	0	3	0	4	1	0	1	0	0	3	1	1	4	18	0	1	44	1	4	0	0	0	9	0	3	0	5	1	2	0	5	0	0	4	0	14	0	4	0	15	4	2	1	9	7	0	0	4	0	5	11	7	3	0	1	0	10	3	9	0	10	5	0	1	5	3	2	1	0	4	1	8	0	1	3	3	2	5	1	0	1	1	6	0	1	0	0	7	5	0	1	15	6	3	2	1	0	0	0	0	3	2	0	7	4	7	6	1	3	2	5	1	2	2	1	7	0	5	4	1	5	1	1	6	4	3	0	4	16	1	2	4	0	0	3	0	0	0	4	0	1	4	1	10	0	1	9	0	33	1	0	0	5	1	7	1	0	1	2	5	0	7	2	7	0	2	8	1	2	0	1	0	4	2	0	0	1	2	0	4	3	7	9	6	0	1	7	0	8	8	1	2	0
MarkEOrtega's Journalism Portfolio	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	3	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	0	3	1	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	2	0	0	2	0	0	0	1	1	0	1	0	0	0	3	1	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	2	5	0	1	1	0	0	3	1	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	10	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	2	0	6	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	1	0
Spinitron Blog	0	23	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	6	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isyeli's	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	31	0	0	0	0	2	3	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
funky little demons	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	1	1	0	0	0	1	0	1	0	0	2	1	0	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	3	1	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	0	0	3	0	0	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ORGANMYTH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEM REGRAS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	3	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	25	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	12	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	4	1	0	0	4	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	4	0	1	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0
Deadbeat	3	0	0	4	1	0	4	2	4	2	2	1	4	5	1	0	2	2	0	2	1	5	5	4	0	0	3	1	0	2	0	1	0	0	7	1	1	8	2	0	0	3	2	0	1	0	2	3	0	0	0	3	0	1	2	0	0	0	0	0	1	0	1	2	0	1	3	0	0	0	0	1	0	1	0	2	0	0	6	0	0	0	2	2	0	4	0	3	1	2	3	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	4	1	0	1	0	0	1	2	0	2	2	3	0	4	2	0	1	0	1	4	1	1	1	0	0	0	0	1	0	0	1	1	1	1	2	1	0	0	1	0	0	1	1	3	1	1	0	0	4	3	1	0	1	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1	1	0	0	4	1	0	0	2	0	0	3	5	2	1	1	0	0	0	0	0	0	3	0	5	1	0	0	0	0	0	2	0	0	0	33	2	1	1	3	4	1	0	0	0	0	0	1	2	1	0	1	0	6	1	1	4	1	0	1	0	5	1	3	0	1	2	1	3	0	0	1	3	3	4	1	0	0	1	0	0	1	2	0	1	1	1	0	1	1	5	0	1	11	0	1	1	3	2	2	1	1	2	4	1	0	2	0	1	2	0	2	0	0	0	2	1	2	1	0	0	0	0	0	0	0	1	1	1	3	1	1	0	3	1	0	6	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	1	8	3	0	0	0	1	0	0	1	0	0	3	1	1	1	0	0	0	4	1	2	0	0	0	1	0	0	3	1	0	1	1	0	1	7	2	1	0	1	0	0	0	0	0	4	0	3	1	3	1	0	1	0	0	6	0	1	2	1	1	1	0	2	1	0	3	0	3	5	0	0	0	4	1	0	1	0	0	2	0	0	2	3	1	0	0	0	2	1	3	0	8	1	1	3	1	0	0	0	1	2	0	0	2	2	0	1	0	0	1	0	5	1	0	1	0	0	0	0	0	0	10	1	0	2	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	10	0	2	0	0	0	0	0	0	2	2	1	1	4	3	1	0	1	0	0
Eli Jace | The Mind Is A Terrible Thing To Paste	0	0	0	1	7	0	1	0	4	2	0	5	3	3	0	1	1	3	1	1	1	0	0	0	2	0	0	0	2	0	0	7	1	1	0	0	0	5	0	0	1	0	1	1	1	0	2	0	1	1	0	0	3	0	2	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	3	3	2	1	2	0	0	0	0	1	2	3	0	2	0	4	0	0	4	1	0	2	0	3	2	3	0	1	2	0	3	9	0	0	0	1	0	1	0	0	3	2	0	0	4	0	0	0	1	0	1	0	2	0	1	0	0	0	0	2	2	3	1	1	1	1	0	0	2	1	0	3	0	6	4	0	9	2	0	12	0	0	0	1	0	0	4	4	0	1	0	4	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	2	0	2	1	1	2	2	3	0	0	0	1	7	2	0	2	1	3	0	0	9	0	0	3	0	0	0	0	8	0	0	3	0	2	5	1	1	0	1	0	4	0	0	0	13	1	2	0	0	0	0	0	0	0	0	2	1	1	0	12	1	1	0	1	0	5	3	3	0	2	3	0	0	0	0	6	4	1	0	0	0	0	7	2	1	0	0	0	1	6	0	0	2	1	2	1	0	0	3	6	0	0	1	2	1	0	0	0	1	0	0	1	0	4	2	2	1	0	0	0	0	0	1	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	4	0	0	0	3	0	2	2	2	2	4	6	1	0	4	0	0	1	1	8	0	1	0	0	0	2	1	1	3	0	2	0	1	4	2	4	5	0	3	0	0	4	0	0	4	0	1	0	2	1	3	0	2	4	3	1	2	2	1	0	1	0	1	0	0	1	1	12	1	1	0	0	0	0	7	3	10	2	0	0	1	0	1	0	3	0	0	0	4	4	2	0	2	0	2	0	0	2	1	2	1	0	0	0	2	0	2	3	2	0	0	3	2	0	0	1	3	0	13	0	0	0	2	1	0	0	2	0	0	0	1	0	6	0	0	1	11	0	3	1	0	0	0	4	0	3	0	0	0	2	1	2	0	0	0	0	1	5	2	0	1	0	1	0	1	0	6	1	1	1	5	0	1	3	1	1	0
The Girl at the Rock Show	2	0	1	0	14	0	2	0	7	2	2	4	2	3	3	0	6	0	7	1	0	0	2	0	0	0	3	5	1	5	0	5	1	0	0	1	3	8	0	0	1	0	0	6	0	15	0	0	2	3	1	10	0	0	10	0	1	1	0	0	2	0	3	2	0	0	0	0	0	3	1	1	1	1	3	0	0	0	1	0	1	0	0	1	1	1	5	5	0	1	11	1	7	0	0	0	3	1	1	0	0	1	2	2	1	2	1	0	0	2	0	2	2	1	4	0	4	0	0	0	3	0	1	0	4	0	0	0	6	1	0	0	0	12	2	0	0	0	2	0	1	2	2	0	0	0	3	2	1	0	0	4	0	0	1	0	1	0	3	3	0	0	0	2	0	1	0	0	0	4	0	0	1	0	0	1	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	3	4	1	1	11	1	0	1	0	0	0	1	0	0	2	3	8	1	0	0	0	0	0	0	2	0	0	5	4	2	1	2	0	2	0	0	0	0	6	0	2	0	1	0	0	0	1	0	0	0	0	0	0	3	2	0	2	0	1	0	4	0	0	0	0	1	1	0	1	1	0	3	0	4	6	0	8	1	1	0	0	6	0	0	0	0	2	0	5	0	2	1	0	1	4	1	0	1	3	4	1	0	0	0	0	2	2	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	2	1	0	3	11	4	1	2	2	1	3	1	2	1	0	0	0	0	0	0	3	1	0	1	7	0	0	1	0	0	1	0	0	0	2	6	0	0	0	0	1	1	0	0	0	4	9	0	0	2	0	8	0	0	2	0	1	0	1	0	1	0	2	0	1	2	0	0	2	0	5	2	2	15	1	0	0	0	1	1	1	0	12	1	2	2	2	2	0	0	0	1	0	8	11	0	4	0	0	3	0	0	1	1	0	0	8	0	2	0	2	2	3	1	3	2	0	0	3	1	0	0	1	0	2	0	0	10	1	2	0	2	1	1	0	0	1	1	0	1	1	2	1	3	0	0	0	0	1	7	1	7	2	0	0	0	0	2	2	1	0	0	0	2	4	1	0	0	0	1	0	2	0	4	0	1	2	3	1	2	2	0	1	2
